Data;Sistema;GWh
22/10/2015;Sudeste/Centro-Oeste;0
22/10/2015;Sul;6,4
22/10/2015;Nordeste;54,9
22/10/2015;Norte;0
22/10/2015;Sistema Interligado Nacional;61,3
23/10/2015;Sudeste/Centro-Oeste;0
23/10/2015;Sul;7,8
23/10/2015;Nordeste;53,9
23/10/2015;Norte;0
23/10/2015;Sistema Interligado Nacional;61,7
24/10/2015;Sudeste/Centro-Oeste;0
24/10/2015;Sul;8,8
24/10/2015;Nordeste;51,8
24/10/2015;Norte;0
24/10/2015;Sistema Interligado Nacional;60,6
25/10/2015;Sudeste/Centro-Oeste;0
25/10/2015;Sul;20,7
25/10/2015;Nordeste;54,6
25/10/2015;Norte;0
25/10/2015;Sistema Interligado Nacional;75,3
26/10/2015;Sudeste/Centro-Oeste;0
26/10/2015;Sul;17
26/10/2015;Nordeste;66,2
26/10/2015;Norte;0
26/10/2015;Sistema Interligado Nacional;83,1
27/10/2015;Sudeste/Centro-Oeste;0
27/10/2015;Sul;10,7
27/10/2015;Nordeste;69,3
27/10/2015;Norte;0
27/10/2015;Sistema Interligado Nacional;80,1
28/10/2015;Sudeste/Centro-Oeste;0
28/10/2015;Sul;21
28/10/2015;Nordeste;56,5
28/10/2015;Norte;0
28/10/2015;Sistema Interligado Nacional;77,4
29/10/2015;Sudeste/Centro-Oeste;0
29/10/2015;Sul;24,1
29/10/2015;Nordeste;46,3
29/10/2015;Norte;0
29/10/2015;Sistema Interligado Nacional;70,4
30/10/2015;Sudeste/Centro-Oeste;0
30/10/2015;Sul;13,6
30/10/2015;Nordeste;45,7
30/10/2015;Norte;0
30/10/2015;Sistema Interligado Nacional;59,4
31/10/2015;Sudeste/Centro-Oeste;0
31/10/2015;Sul;16,3
