Data;Usina;Programado (MWmed);Verificado (MWmed);Desvio %
02/01/2017;UT.MARANHAO 5;338;322,72;-4,52
02/01/2017;UT.PARNAIBA 4;0;0;0
02/01/2017;UT.PECEM;0;0;0
02/01/2017;UT.POR.ITAQUI;0;0;0
02/01/2017;UT.TERMOCEARA;0;15,32;0
02/01/2017;UTE AMANDINA;105;29,43;-71,97
02/01/2017;UTE ANGELICA;70;27,42;-60,83
02/01/2017;UTE APARECIDA;0;0;0
02/01/2017;UTE ARAGUAIA;13,33;13,74;3,08
02/01/2017;UTE AREMBEPE;0;13,54;0
02/01/2017;UTE ATLANTICO;380;326,45;-14,09
02/01/2017;UTE BERNECK;6,54;0;-100
02/01/2017;UTE BOA VISTA;0;0;0
02/01/2017;UTE CACU I;0;0;0
02/01/2017;UTE CMPC;15;4,08;-72,8
02/01/2017;UTE COCAL 2;50;0;-100
02/01/2017;UTE CODORA;0;0;0
02/01/2017;UTE CRIST ROCHA;48;45,25;-5,73
02/01/2017;UTE CUIABA;0;0;0
02/01/2017;UTE ELDORADO BR;0;0;0
02/01/2017;UTE ELECTRON;0;0;0
02/01/2017;UTE FLORES 1;0;0;0
02/01/2017;UTE FLORES 2;0;0;0
02/01/2017;UTE FLORES 3;0;0;0
02/01/2017;UTE FLORES 4;0;0;0
02/01/2017;UTE GLOBAL I;0;20,97;0
02/01/2017;UTE GLOBAL II;0;21,34;0
02/01/2017;UTE GOIASA;0;0;0
02/01/2017;UTE GUA.TANABI;0;0;0
02/01/2017;UTE GUAIRA;24;24;0
02/01/2017;UTE GUARANI;13;13;0
02/01/2017;UTE IPAUSSU;0;0;0
02/01/2017;UTE IRANDUBA;0;0;0
02/01/2017;UTE JARAQUI;55;44,13;-19,76
02/01/2017;UTE LAGO AZUL;0;0;0
02/01/2017;UTE MADEIRAS;2;2;0
02/01/2017;UTE MANAUARA;65;67,19;3,37
02/01/2017;UTE MAUA 7;0;0;0
02/01/2017;UTE MAUA BL 3;105;103,46;-1,47
02/01/2017;UTE MAUA BL 6;0;0;0
02/01/2017;UTE MAUA BL I;0;0;0
02/01/2017;UTE MAUA BL4;0;0;0
02/01/2017;UTE MURICY;40,29;45,16;12,09
02/01/2017;UTE P.FERRO 1;0;0;0
02/01/2017;UTE PERNAMB.3;15,17;14,59;-3,82
02/01/2017;UTE RIO ACRE;0;0;0
02/01/2017;UTE SANTANA;0;0;0
02/01/2017;UTE SANTANA II;0;0;0
02/01/2017;UTE SAO BORJA;0;0;0
02/01/2017;UTE SIDE PECEM;170;195,29;14,88
02/01/2017;UTE SOL;154,29;150,79;-2,27
02/01/2017;UTE SUAPE II;245,65;221,9;-9,67
02/01/2017;UTE SUZANO;190;224,94;18,39
02/01/2017;UTE SYKUE 1;0;0;0
02/01/2017;UTE TAMBAQUI;55;62,24;13,16
02/01/2017;UTE USACIGA;0;0;0
02/01/2017;UTE VIANA;0;0;0
02/01/2017;VALE ROSARIO;60;60;0
02/01/2017;XAVANTES;0;0;0
02/01/2017;PCT AOR;0;0;0
02/01/2017;PCT CEEE;0;0;0
02/01/2017;PCT CELG;0;0;0
02/01/2017;PCT CEMAT;23;23;0
02/01/2017;PCT CEMIG;0;0;0
02/01/2017;PCT COELBA;0;0;0
02/01/2017;PCT CPFL;0;0;0
02/01/2017;PCT CSF;0;0;0
02/01/2017;PCT DJB;0;0;0
02/01/2017;PCT ENERSUL;21;21;0
02/01/2017;PCT FURNAS;0;0;0
02/01/2017;PCT MARINGA;77;77;0
02/01/2017;PCT PBR;0;0;0
02/01/2017;PCT PIE;0;0;0
02/01/2017;CONJUNTO CHAPADAO;76,19;112,54;47,71
02/01/2017;CONJUNTO TERMELETRICO BIOPAV;0;0;0
02/01/2017;CONJUNTO TERMELETRICO CACHOEIRA DOURADA;0;0;0
02/01/2017;CONJUNTO TERMELETRICO DOURADOS;50;54,59;9,18
02/01/2017;CONJUNTO TERMELETRICO EDEIA;0;0;0
02/01/2017;CONJUNTO TERMELETRICO JATAI;0;0;0
02/01/2017;CONJUNTO TERMELETRICO QUIRINOPOLIS;18;0;-100
03/01/2017;ANGRA;1.990,00;1.987,38;-0,13
03/01/2017;ALTA MOGIANA;29;29;0
03/01/2017;ALTOS;0;0;0
03/01/2017;ARACATI;0;0;0
03/01/2017;B.FLUMINENSE;509,17;357,33;-29,82
03/01/2017;B.L.SOBRINHO;0;0;0
03/01/2017;BAHIA I;18,29;10,02;-45,22
03/01/2017;BATURITE;0;0;0
03/01/2017;BELO JARDIM;0;0;0
03/01/2017;C.S.TUBARAO;178;145,62;-18,19
03/01/2017;CAMPO MAIOR;0;0;0
03/01/2017;CAMPOS;0;0;0
03/01/2017;CANDIOTA III;0;0;0
03/01/2017;CAUCAIA;0;0;0
03/01/2017;CELSO FURTADO;150;147,86;-1,43
03/01/2017;COCAL;0;0;0
03/01/2017;COLORADO;21;21;0
03/01/2017;CRATO;0;0;0
03/01/2017;DAIA;0;0;0
03/01/2017;EUZEBIO ROCHA;210;205,76;-2,02
03/01/2017;FER.GASPARIAN;0;0;0
03/01/2017;GERAMAR I;0;0;0
03/01/2017;GERAMAR II;0;0;0
03/01/2017;GOIANIA II;0;0;0
03/01/2017;GOV.L.BRIZOLA;310;309,92;-0,03
03/01/2017;IGARAPE;0;0;0
03/01/2017;IGUATU;0;0;0
03/01/2017;JAIME BELTRAO;0;0;0
03/01/2017;JALLES MACHAD;0;0;0
03/01/2017;JE.SO.PEREIRA;295,83;295,02;-0,27
03/01/2017;JUAZEIRO NORT;0;0;0
03/01/2017;JUIZ DE FORA;0;0;0
03/01/2017;L.C.PRESTES;0;0;0
03/01/2017;LUIZ O R MELO;204;204,6;0,29
03/01/2017;MARAMBAIA;0;0;0
03/01/2017;NAZARIA;0;0;0
03/01/2017;NO.FLUMINENSE;720;723,26;0,45
03/01/2017;NUTEPA;0;0;0
03/01/2017;P.MEDICI;145;51,87;-64,23
03/01/2017;PALMEIRAS GO;0;0;0
03/01/2017;PETROLINA;0;0;0
03/01/2017;PIE-RP;0;0;0
03/01/2017;PORTO PECEM I;525;359,21;-31,58
03/01/2017;PORTO PECEM II;263,33;326,83;24,11
03/01/2017;POTIGUAR;0;0;0
03/01/2017;POTIGUAR III;0;0;0
03/01/2017;RIO MADEIRA;0;0;0
03/01/2017;ROMULOALMEIDA;75;87,41;16,55
03/01/2017;S.JOSE COLINA;8;0;-100
03/01/2017;SANTA CRUZ;350;323,51;-7,57
03/01/2017;SANTAREM;0;0;0
03/01/2017;SAO JERONIMO;0;0;0
03/01/2017;SEPE TIARAJU;0;0;0
03/01/2017;T.PONTA NEGRA;64;65,48;2,31
03/01/2017;TER BRASILIA;0;0;0
03/01/2017;TERMOCABO;0;13;0
03/01/2017;TERMOMANAUS;0;0;0
03/01/2017;TERMONORDESTE;0;79,23;0
03/01/2017;TERMONORTE II;0;0;0
03/01/2017;TERMOPARAIBA;0;64,97;0
03/01/2017;TERMOPERNAMBU;532;76,45;-85,63
03/01/2017;TQUIRINOPOLIS;0;0;0
03/01/2017;U. ALEGRETE;0;0;0
03/01/2017;U. W.ARJONA;0;0;0
03/01/2017;U.ARAUCARIA;0;0;0
03/01/2017;U.CHARQUEADAS;0;0;0
03/01/2017;U.JLACERDA-A;0;0;0
03/01/2017;U.JLACERDA-B;170;103,66;-39,02
