Data;Usina;Programado (MWmed);Verificado (MWmed);Desvio %
02/01/2017;EOL FAISA IV;8,69;8,19;-5,75
02/01/2017;EOL FAISA V;9,69;9,80;1,14
02/01/2017;EOL FORMOSA;38,04;26,36;-30,70
02/01/2017;EOL ICARAI 1;13,19;17,93;35,94
02/01/2017;EOL ICARAI 2;18,67;20,74;11,09
02/01/2017;EOL ICARAIZIN;23,25;26,64;14,58
02/01/2017;EOL ILHA GRAN;10,73;0,00;-100,00
02/01/2017;EOL MACAUBAS;13,46;9,62;-28,53
02/01/2017;EOL MAR TERRA;10,67;9,82;-7,97
02/01/2017;EOL MIASSABA3;18,29;20,71;13,23
02/01/2017;EOL OSORIO;19,75;2,68;-86,43
02/01/2017;EOL OSORIO 2;8,79;2,33;-73,49
02/01/2017;EOL OSORIO 3;0,00;2,30;0,00
02/01/2017;EOL P.MORGADO;11,42;7,55;-33,89
02/01/2017;EOL PARACURU;0,00;0,00;0,00
02/01/2017;EOL PPARAJURU;0,00;0,00;0,00
02/01/2017;EOL RIACHAO 1;8,08;13,73;69,93
02/01/2017;EOL RIACHAO 2;6,85;10,67;55,77
02/01/2017;EOL RIACHAO 4;7,65;14,21;85,75
02/01/2017;EOL RIACHAO 6;7,65;12,81;67,45
02/01/2017;EOL RIACHAO 7;7,15;10,26;43,50
02/01/2017;EOL RIBEIRAO;7,79;7,01;-10,01
02/01/2017;EOL RIO CHORO;0,00;0,00;0,00
02/01/2017;EOL S A PADUA;6,83;6,35;-7,03
02/01/2017;EOL S.CRISTOV;12,96;12,69;-2,08
02/01/2017;EOL SANGRA.2;8,79;2,25;-74,40
02/01/2017;EOL SANGRA.3;0,00;1,85;0,00
02/01/2017;EOL SANGRADOU;0,00;2,69;0,00
02/01/2017;EOL SAO JORGE;11,44;10,92;-4,55
02/01/2017;EOL SEABRA;11,19;11,99;7,15
02/01/2017;EOL TBA AGUIA;12,12;11,07;-8,66
02/01/2017;EOL VOLTA RIO;12,98;10,06;-22,50
02/01/2017;EOL XANGRILA;4,27;3,33;-22,01
02/01/2017;EOL. INDIOS 2;8,00;2,76;-65,50
02/01/2017;EOL. INDIOS 3;0,00;2,08;0,00
02/01/2017;MANGUE SECO 1;11,60;13,81;19,05
