Data;Usina;Programado (MWmed);Verificado (MWmed);Desvio %
13/01/2017;STA. CLARA PR;89,7;89,8;0,09
13/01/2017;U.BARRAGRANDE;437,7;485,2;10,84
13/01/2017;U.C NOVOS;876,6;877,9;0,15
13/01/2017;U.D.FRANCISCA;118,6;111,2;-6,29
13/01/2017;U.FOZ CHAPECO;707,0;735,0;3,95
13/01/2017;U.ITA;1.229,6;1.370,6;11,47
13/01/2017;U.MACHADINHO;820,2;826,1;0,71
13/01/2017;U.MONTE CLARO;129,2;116,0;-10,25
13/01/2017;U.PASSO FUNDO;78,6;107,0;36,20
13/01/2017;U.QUEB.QUEIXO;120,0;121,0;0,82
13/01/2017;U.S.OSORIO;775,3;792,1;2,17
13/01/2017;U.S.SANTIAGO;796,2;802,7;0,82
13/01/2017;UHE GARIBALDI;187,7;189,1;0,72
13/01/2017;UHE JAYME CANET;229,6;258,0;12,35
13/01/2017;USI PAR.SOUZA;149,0;167,6;12,45
13/01/2017;AGUA VERMELHA;799,2;802,4;0,40
13/01/2017;AIMORES;62,6;60,5;-3,25
13/01/2017;ALTO SUCURIU;23,4;23,4;0,00
13/01/2017;AMADORAGUIAR1;156,4;161,4;3,24
13/01/2017;AMADORAGUIAR2;135,3;139,3;2,99
13/01/2017;BAGUARI;35,6;34,9;-1,91
13/01/2017;BARIRI;66,4;73,9;11,30
13/01/2017;BARRA BONITA;51,6;53,5;3,66
13/01/2017;BATALHA;10,0;10,0;0,40
13/01/2017;C. DOURADA;438,3;395,8;-9,70
13/01/2017;CACONDE;27,4;27,7;1,02
13/01/2017;CAMARGOS;9,9;10,8;9,21
13/01/2017;CANA BRAVA;125,0;125,5;0,42
13/01/2017;CANOAS I;80,0;79,5;-0,57
13/01/2017;CANOAS II;70,0;68,2;-2,59
13/01/2017;CAPIVARA;385,6;394,8;2,39
13/01/2017;CHAVANTES;375,0;375,3;0,08
13/01/2017;CONJUNTO HIDRELETRICO PARECIS;100,0;109,4;9,38
13/01/2017;CONJUNTO HIDRELETRICO SANTA CABECA;41,3;41,3;0,00
13/01/2017;CORUMBA;132,9;128,4;-3,36
13/01/2017;CORUMBA III;0,0;0,0;0,00
13/01/2017;CORUMBA IV;0,0;0,0;0,00
13/01/2017;DARDANELOS;259,0;246,4;-4,87
13/01/2017;E.CUNHA;45,3;44,2;-2,43
13/01/2017;EMBORCACAO;306,3;315,9;3,14
13/01/2017;ESPORA;32,0;26,1;-18,53
13/01/2017;FONTES NOVA;110,0;110,6;0,50
13/01/2017;FUNIL;75,3;70,8;-6,00
13/01/2017;FUNIL GRANDE;88,5;88,9;0,44
13/01/2017;FURNAS;673,0;625,3;-7,09
13/01/2017;GUAPORE;50,8;53,6;5,59
13/01/2017;GUILMA AMORIM;28,6;34,6;21,25
13/01/2017;H.BORDEN EXT;174,9;174,9;-0,03
13/01/2017;H.BORDEN SUB;165,9;129,5;-21,93
13/01/2017;IBITINGA;85,5;92,7;8,53
13/01/2017;IGARAPAVA;155,4;146,3;-5,85
13/01/2017;ILHA POMBOS;71,5;118,7;66,00
13/01/2017;ILHA SOLTEIRA;1.342,3;1.455,7;8,44
13/01/2017;IRAPE-US;62,0;65,7;5,90
13/01/2017;ITAIPU 60 HZ;5.416,5;5.556,8;2,59
13/01/2017;ITIQUIRA I;30,0;30,2;0,80
13/01/2017;ITIQUIRA II;80,0;82,5;3,09
13/01/2017;ITUMBIARA;979,7;794,7;-18,88
13/01/2017;ITUTINGA-US;15,4;15,7;2,14
13/01/2017;J.GELASIO ROC;0,0;0,0;0,00
13/01/2017;JAGUARA-US;338,2;332,4;-1,72
13/01/2017;JAGUARI;14,0;14,9;6,50
13/01/2017;JLM.G.PEREIRA;39,1;41,3;5,47
13/01/2017;JUBA 1;27,7;29,4;6,17
13/01/2017;JUBA 2;29,4;27,7;-5,84
13/01/2017;JUPIA;819,8;828,8;1,10
13/01/2017;JURUMIRIM;96,0;95,7;-0,31
13/01/2017;L.C.BARRETO;529,3;519,4;-1,87
13/01/2017;LAJEADO;205,4;212,1;3,28
13/01/2017;LASA;0,0;0,0;0,00
13/01/2017;LIMOEIRO;13,8;12,5;-9,41
13/01/2017;M. MORAES;348,3;337,4;-3,12
13/01/2017;MANSO;60,0;61,1;1,87
13/01/2017;MARIMBONDO;932,6;888,3;-4,75
13/01/2017;MIRANDA;191,9;191,7;-0,09
13/01/2017;N.AVANHANDAVA;165,5;187,6;13,38
13/01/2017;NILO PECANHA;307,9;341,4;10,90
13/01/2017;NOVA PONTE;210,0;191,6;-8,75
13/01/2017;OURINHOS;40,1;33,2;-17,23
13/01/2017;P. COLOMBIA;180,2;185,0;2,65
13/01/2017;P. PRIMAVERA;1.053,1;1.084,7;3,00
13/01/2017;PARAIBUNA;9,0;9,6;6,33
13/01/2017;PCH BURITI;26,0;26,0;0,00
13/01/2017;PCH CEB;0,9;0,9;0,00
13/01/2017;PCH CELG;55,4;41,8;-24,50
13/01/2017;PCH CEMAT;495,7;495,7;0,00
13/01/2017;PCH CEMIG;40,3;40,3;0,02
13/01/2017;PCH CERJ;298,7;0,0;-100,00
13/01/2017;PCH CESP;0,0;0,0;0,00
13/01/2017;PCH CGRANDE;43,0;43,0;0,00
13/01/2017;PCH CPFL;45,0;45,0;0,00
13/01/2017;PCH EMAE;40,0;40,0;0,00
13/01/2017;PCH ENERSUL;1,0;0,0;-100,00
13/01/2017;PCH ESCELSA;167,4;167,4;0,00
13/01/2017;PCH IACIARA;0,0;0,0;0,00
13/01/2017;PCH JAURU-CEMAT;0,0;59,7;0,00
13/01/2017;PCH JI-PARANA;0,0;30,1;0,00
13/01/2017;PCH NORTEMS;0,0;0,0;0,00
13/01/2017;PCH P. BUENO;0,0;14,1;0,00
13/01/2017;PCH QUEIXADA;26,0;23,9;-8,19
13/01/2017;PCH S A CAIAPO;11,0;0,0;-100,00
13/01/2017;PCH SAL.CURUA;0,0;0,0;0,00
13/01/2017;PCH SAO JOAO;3,0;3,0;0,00
13/01/2017;PCH VILHENA;0,0;24,3;0,00
13/01/2017;PEIXE ANGICAL;100,0;101,1;1,05
13/01/2017;PEREIRA PASSO;46,4;51,7;11,37
13/01/2017;PICADA;32,3;44,6;38,03
13/01/2017;PIRAJU;74,0;75,9;2,55
13/01/2017;PONTE PEDRA;174,0;172,0;-1,16
13/01/2017;PORTO ESTRELA;21,1;20,0;-5,39
13/01/2017;PORTO PEDRAS;22,0;22,0;0,00
13/01/2017;PROMISSAO;112,1;115,1;2,65
13/01/2017;QUEIMADO;9,0;9,1;1,22
13/01/2017;RETIRO BAIXO;18,6;18,5;-0,48
13/01/2017;RISOLETANEVES;0,0;0,0;0,00
13/01/2017;ROCHEDO;3,0;0,0;-100,00
13/01/2017;RONDON II;48,0;48,1;0,10
13/01/2017;ROSAL;32,4;31,2;-3,95
13/01/2017;ROSANA;289,7;288,6;-0,38
13/01/2017;S.DO FACAO;30,0;30,4;1,23
13/01/2017;S.R.VERDINHO;57,4;60,4;5,23
13/01/2017;SA CARVALHO;26,1;32,9;25,75
13/01/2017;SALTO;64,9;68,3;5,24
13/01/2017;SALTO GRANDE;28,6;23,9;-16,21
13/01/2017;SALTO GRANDE CS;70,0;68,7;-1,81
13/01/2017;SANTA BRANCA;9,0;8,7;-3,00
13/01/2017;SANTO ANTONIO;2.295,8;2.731,0;18,96
13/01/2017;SAO DOMINGOS;39,4;39,2;-0,48
13/01/2017;SAO JOAQUIM;0,0;0,0;0,00
13/01/2017;SAO LOURENCO;31,4;12,1;-61,63
13/01/2017;SAO SALVADOR;76,8;77,8;1,26
13/01/2017;SAO SIMAO-US;1.200,8;1.229,4;2,38
13/01/2017;SIMPLICIO;251,6;269,8;7,27
13/01/2017;SOBRAGI;41,7;48,8;17,03
13/01/2017;STA.CLARA-MG;4,3;6,4;48,15
13/01/2017;TAQUARUCU;306,9;298,2;-2,84
13/01/2017;TELES PIRES;1.228,6;1.146,5;-6,68
13/01/2017;TRES IRMAOS;166,9;172,8;3,51
13/01/2017;TRES MARIAS;49,0;49,0;0,00
13/01/2017;U.MASCARENHAS;55,2;57,7;4,59
13/01/2017;U.MIMOSO;15,0;22,0;46,67
13/01/2017;UH BCOQUEIROS;50,7;52,6;3,65
13/01/2017;UHE CACU;36,0;36,7;1,89
13/01/2017;UHE JIRAU;2.115,9;2.191,6;3,58
13/01/2017;UHE S.DA MESA;268,5;251,5;-6,33
13/01/2017;UHE SAMUEL;100,2;69,8;-30,34
13/01/2017;USI JAURU;66,0;68,6;3,80
13/01/2017;VOLTA GRANDE;170,5;185,9;9,03
13/01/2017;
13/01/2017;"[Geração";  por Submercado]
13/01/2017;"[Térmica";  - Por Usina]
13/01/2017;"[Eólica";  - Por Usina]
13/01/2017;
13/01/2017;Ir para >>
13/01/2017;[Boletim Semanal - Página Inicial]
13/01/2017;"[Histórico da";  Geração de Energia]
13/01/2017;[Voltar]
13/01/2017;
